intent,ground_truth_f1,n_samples_ground_truth,baseline_f1,finetuned_f1,baseline_drop,finetuned_drop,recovery
datetime_query,0.3300546448087432,308,0.02238354506957048,0.054409198234267535,0.3076710997391727,0.27564544657447565,0.032025653164697056
lists_createoradd,0.32195121951219513,106,0.021561771561771564,0.1141025641025641,0.30038944795042355,0.20784865540963104,0.09254079254079253
transport_query,0.32273262661955243,146,0.03398363750786658,0.09343065693430656,0.28874898911168584,0.22930196968524585,0.059447019426439984
recommendation_locations,0.3177892918825561,101,0.04285714285714286,0.07047619047619048,0.27493214902541324,0.24731310140636564,0.027619047619047626
qa_definition,0.3054806828391734,201,0.03998584571832979,0.08770949720670392,0.2654948371208436,0.2177711856324695,0.047723651488374125
email_sendemail,0.2437641723356009,226,0.022765396597172298,0.09561200923787529,0.2209987757384286,0.1481521630977256,0.072846612640703
music_query,0.22972972972972974,160,0.023900330536486145,0.07447165380744716,0.2058293991932436,0.15525807592228258,0.05057132327096102
alarm_query,0.22522522522522523,122,0.02115494568324757,0.09433962264150944,0.20407027954197765,0.1308856025837158,0.07318467695826186
audio_volume_mute,0.221875,89,0.017857142857142856,0.08944099378881988,0.20401785714285714,0.13243400621118012,0.07158385093167702
play_game,0.22945205479452055,79,0.036036036036036036,0.07194244604316546,0.19341601875848452,0.15750960875135508,0.03590641000712943
takeaway_order,0.22302158273381295,77,0.03137254901960784,0.09822866344605476,0.1916490337142051,0.1247929192877582,0.06685611442644691
email_query,0.19416058394160585,282,0.007856341189674522,0.10308407266582172,0.18630424275193133,0.09107651127578413,0.09522773147614719
music_likeness,0.2072072072072072,65,0.03125,0.12698412698412698,0.1759572072072072,0.08022308022308022,0.09573412698412698
email_querycontact,0.2169811320754717,60,0.04318936877076412,0.06956521739130435,0.17379176330470758,0.14741591468416737,0.02637584862054023
lists_query,0.18975741239892183,195,0.017867958812840704,0.11716621253405994,0.17188945358608113,0.07259119986486189,0.09929825372121924
social_post,0.1855072463768116,185,0.0221875,0.036896877956480605,0.1633197463768116,0.14861036842033098,0.014709377956480606
play_audiobook,0.19022556390977444,279,0.027309236947791166,0.05594059405940594,0.16291632696198327,0.1342849698503685,0.028631357111614776
lists_remove,0.18035714285714285,123,0.020108695652173915,0.07348484848484849,0.16024844720496895,0.10687229437229437,0.05337615283267457
cooking_recipe,0.1872093023255814,183,0.028477218225419664,0.0419501133786848,0.15873208410016174,0.1452591889468966,0.013472895153265139
weather_query,0.1636233440744719,474,0.01874076809453471,0.0415495157763199,0.1448825759799372,0.122073828298152,0.022808747681785188
play_podcasts,0.14883720930232558,119,0.013888888888888888,0.0802390098164746,0.13494832041343668,0.06859819948585098,0.06635012092758572
calendar_set,0.13905606588533417,463,0.019879796578825704,0.04917933498879535,0.11917626930650847,0.08987673089653883,0.029299538409969645
qa_maths,0.14883720930232558,54,0.031055900621118012,0.07222222222222223,0.11778130868120756,0.07661498708010335,0.041166321601104214
news_query,0.13042375031717837,306,0.019003115264797508,0.04115384615384615,0.11142063505238087,0.08926990416333222,0.022150730889048644
play_music,0.12128966223132037,503,0.020839664828724003,0.048996028860674536,0.10044999740259637,0.07229363337064584,0.028156364031950532
recommendation_events,0.12932604735883424,112,0.03104026845637584,0.06238361266294227,0.0982857789024584,0.06694243469589198,0.031343344206566426
calendar_query,0.1024016891000264,454,0.017000432214378334,0.037235790165370715,0.08540125688564806,0.06516589893465569,0.02023535795099238
qa_factoid,0.06785714285714285,332,0.01451043338683788,0.02876397107166338,0.05334670947030497,0.03909317178547947,0.014253537684825499
general_quirky,0.030941949616648413,438,0.021155830753353973,0.019904034121201352,0.00978611886329444,0.01103791549544706,-0.0012517966321526214
hue_lightup,0.0,1,0.0,0.0,0.0,0.0,0.0
general_greet,0.0,17,0.0,0.0,0.0,0.0,0.0
music_dislikeness,0.0,5,0.0,0.0,0.0,0.0,0.0
cleaning,0.0,8,0.0,0.0,0.0,0.0,0.0
cooking_query,0.0,14,0.0,0.0,0.0,0.0,0.0
factoid,0.0,14,0.0,0.0,0.0,0.0,0.0
set,0.0,3,0.0,0.0,0.0,0.0,0.0
music,0.0,39,0.0,0.0,0.0,0.0,0.0
greet,0.0,2,0.0,0.0,0.0,0.0,0.0
podcasts,0.0,6,0.0,0.0,0.0,0.0,0.0
query,0.0,87,0.0,0.0,0.0,0.0,0.0
hue_lightoff,0.0,9,0.0,0.0,0.0,0.0,0.0
post,0.0,2,0.0,0.0,0.0,0.0,0.0
quirky,0.0,26,0.0,0.0,0.0,0.0,0.0
